@file,1,DJM-S7,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Browser,,,,,,,,,,,,,,
Browse,Browse,Rotary,B040,,,,,,,,,,,Browse(Track/Folder Select)
Browse,Browse,Rotary,B140,,,,,,,,,,,Browse(Track/Folder Select)
Forward,Browse+Press,Button,9041,,,,,,,,,,,Library Forward (Folder Open)
Forward,Browse+Press,Button,9141,,,,,,,,,,,Library Forward (Folder Open)
Load,Load,Button,9046,0,1,,,,,,,,,Load to Deck / Instant Double (double click)
AddToTagList,Load+Shift,Button,9047,,,,,,,,,,,Tag Track
AddToTagList,Load+Shift,Button,9147,,,,,,,,,,,Tag Track
Back,Back,Button,9068,,,,,,,,,,,Library Back (Folder Close)
Back,Back,Button,9168,,,,,,,,,,,Library Back (Folder Close)
Area,Back+Shift,Button,9067,,,,,,,,,,,Area (Change panel type from among several types)
Area,Back+Shift,Button,9167,,,,,,,,,,,Area (Change panel type from among several types)
,,,,,,,,,,,,,,
# Loop,,,,,,,,,,,,,,
AutoLoop,AutoLoop,Button,9014,0,1,,,9014,0,1,,,,Auto Loop On/Off
ActiveLoop,AutoLoop+Shift,Button,9050,0,1,,,9050,0,1,,,,Loop Active/Non active
LoopHalf,LoopHalf,Button,9012,0,1,,,9012,0,1,,,Fast,Loop Size Select (Half)
LoopIn,LoopHalf+Shift,Button,9010,0,1,,,9010,0,1,,,Fast,Loop in/Loop in adjust
LoopDouble,LoopDouble,Button,9013,0,1,,,9013,0,1,,,Fast,Loop Size Select (Double)
LoopOut,LoopDouble+Shift,Button,9011,0,1,,,9011,0,1,,,Fast,Loop out/Loop out adjust
,,,,,,,,,,,,,,
# Mixer,,,,,,,,,,,,,,
Shift,Shift,Button,963F,,,,,,,,,,RO,Shift
PanelForward,Panel,Button,9678,,,,,,,,,,,Toggles through panels
CrossFader,CrossFader,KnobSliderHiRes,B61F,,,,,,,,,,Fast,Crossfader
ChannelFader,ChannelFader,KnobSliderHiRes,B013,0,1,,,,,,,,,CH Fader
ChannelFaderStartPlay,ChannelFaderStartPlay,Button,9051,0,1,,,,,,,,RO,CH Fader Start (PLAY)
ChannelFaderStartHotCue,ChannelFaderStartHotCue,Button,9053,0,1,,,,,,,,RO,CH Fader Start (HOT CUE)
ChannelFaderStartCue,ChannelFaderStartCue,Button,9052,0,1,,,,,,,,RO,CH Fader Start (CUE)
BpmInformation,BpmInformation,KnobSliderHiRes,B002,0,1,,,,,,,,RO,
,,,,,,,,,,,,,,
# Effect,,,,,,,,,,,,,,
FX1-1,FX1-1,KnobSliderHiRes,B402,,,,,,,,,,,FX1-1 Effect Depth
