@file,1,PIONEER DDJ-WeGO2
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Browser,,,,,,,,,,,,,,
Browse,Browse,Rotary,B640,,,,,,,,,,,Browse
Zoom,Browse+Shift,Rotary,B664,,,,,,,,,,,
Forward,Browse+Press,Button,9641,,,,,,,,,,,Library Forwod (Folder Open)
Back,Browse+Press+Shift,Button,9642,,,,,,,,,,,Library Back (Folder Close)
Load,Load,Button,,9646,9647,9648,9649,,,,,,,Load to Deck / Instant Double (double click)
SortBPM,Load1+Shift,Button,9658,,,,,,,,,,,Sort by BPM
SortARTIST,Load2+Shift,Button,9659,,,,,,,,,,,Sort by ARTIST
SortBPM,Load3+Shift,Button,965A,,,,,,,,,,,Sort by BPM
SortARTIST,Load4+Shift,Button,965B,,,,,,,,,,,Sort by ARTIST
,,,,,,,,,,,,,,
# Deck,,,,,,,,,,,,,,
PlayPause,PlayPause,Button,900B,0,1,2,3,900B,0,1,2,3,Fast;Priority=50,PlayPause
PlayPause,PlayPause+Shift,Button,9047,0,1,2,3,9047,0,1,2,3,Fast;Priority=50,Play/Pause
Cue,Cue,Button,900C,0,1,2,3,900C,0,1,2,3,Fast;Priority=50,Cue Set/Play CueBack
JumpToTrackStart,Cue+Shift,Button,9048,0,1,2,3,9048,0,1,2,3,Fast;Priority=50,Jump to track start
,,,,,,,,,,,,,,
JogScratch,JogScratch,JogRotate,B022,0,1,2,3,,,,,,RO,Scratch
#JogPitchBend,JogPitchBend,JogRotate,B023,0,1,2,3,,,,,,RO,Pitch Bend
JogSearch,JogSearch,Difference,B027,0,1,2,3,,,,,,RO,Search
JogTouch,JogTouch,JogTouch,9036,0,1,2,3,,,,,,RO,Touch
JogTouch,JogTouch+Shift,JogTouch,9067,0,1,2,3,,,,,,RO,Touch
,,,,,,,,,,,,,,
WheelPitchBend,WheelPitchBend,JogRotate,B021,0,1,2,3,,,,,,RO,Pitch Bend
WheelSearch,WheelSearch,JogRotate,B026,0,1,2,3,,,,,,RO,Pitch Bend
,,,,,,,,,,,,,,
TempoSlider,TempoSlider,KnobSliderHiRes,B000,0,1,2,3,,,,,,Fast,Tempo Control
TempoSlider,TempoSlider+Shift,KnobSliderHiRes,B005,0,1,2,3,,,,,,Fast,Tempo Control
#,HeadphoneCue+Shift,Button,,965C,965D,965E,965F,,965C,965D,965E,965F,,Tempo Range
Deck3WithoutState,Deck3,Button,9272,,,,,9272,,,,,RO,Select Deck 3
Deck4WithoutState,Deck4,Button,9372,,,,,9372,,,,,RO,Select Deck 4
Sync,Sync,Button,9058,0,1,2,3,9058,0,1,2,3,Blink=600,Sync On
Master,Sync+Shift,Button,905C,0,1,2,3,,,,,,,Master On/Off
AutoLoop,AutoLoop+Press,Button,9014,0,1,2,3,,,,,,,Auto Loop On/Off
ReloopExit,AutoLoop+Press+Shift,Button,9050,0,1,2,3,,,,,,Fast,Reloop/Exit
LoopHalfDouble,AutoLoop,Rotary,B013,0,1,2,3,,,,,,Fast,Loop Size Select
LoopMove,AutoLoop+Shift,Rotary,B04F,0,1,2,3,,,,,,,Loop Move
Shift,Shift,Button,964F,,,,,,,,,,RO,Shift
,,,,,,,,,,,,,,
# Mixer,,,,,,,,,,,,,,
CrossFader,CrossFader,KnobSliderHiRes,B61F,,,,,,,,,,Fast,Crossfader
CrossFader,CrossFader+Shift,KnobSliderHiRes,B600,,,,,,,,,,Fast,Crossfader
ChannelFader,ChannelFader,KnobSliderHiRes,,B613,B615,B617,B619,,,,,,,ChannelFader A/B
ChannelFader,ChannelFader+Shift,KnobSliderHiRes,,B614,B616,B618,B61A,,,,,,,ChannelFader A/B
EQHigh,EQHigh,KnobSliderHiRes,,B607,B608,B609,B60A,,,,,,Fast,EQ High
EQMid,EQMid,KnobSliderHiRes,,B60B,B60C,B60D,B60E,,,,,,Fast,EQ Mid
EQLow,EQLow,KnobSliderHiRes,,B60F,B610,B611,B612,,,,,,Fast,EQ Low
HeadphoneCue,HeadphoneCue,Button,,9654,9655,9656,9657,,9654,9655,9656,9657,,Headphone CUE On/Off
HeadphonesMix,HeadphonesMix,KnobSliderHiRes,B601,,,,,,,,,,,
ChannelLevel.1,ChannelLevel,Indicator,,,,,,,9C28,9C2D,9C32,9C37,RO;Priority=50,CH Level Indicator
ChannelLevel.2,ChannelLevel,Indicator,,,,,,,9C29,9C2E,9C33,9C38,RO;Priority=50,CH Level Indicator
ChannelLevel.3,ChannelLevel,Indicator,,,,,,,9C2A,9C2F,9C34,9C39,RO;Priority=50,CH Level Indicator
ChannelLevel.4,ChannelLevel,Indicator,,,,,,,9C2B,9C30,9C35,9C3A,RO;Priority=50,CH Level Indicator
ChannelLevel.5,ChannelLevel,Indicator,,,,,,,9C2C,9C31,9C36,9C3B,RO;Priority=50,CH Level Indicator
,,,,,,,,,,,,,,
# Effect,,,,,,,,,,,,,,
FX1-1,FX1-1,KnobSliderHiRes,B402,,,,,,,,,,,FX1-1 Effect Depth
FX1-1,FX1-1+Shift,KnobSliderHiRes,B412,,,,,,,,,,,FX1-1 Effect Depth
FX1-1On,FX1-1On,Button,9443,,,,,9443,,,,,,FX1-1 Effect On/Off
FX1-1Select,FX1-1On+Shift,Button,944D,,,,,,,,,,,FX select
,,,,,,,,,,,,,,
FX1-2,FX1-2,KnobSliderHiRes,B404,,,,,,,,,,,FX1-2 Effect Depth
FX1-2,FX1-2+Shift,KnobSliderHiRes,B414,,,,,,,,,,,FX1-2 Effect Depth
FX1-2On,FX1-2On,Button,9444,,,,,9444,,,,,,FX1-2 Effect On/Off
FX1-2Select,FX1-2On+Shift,Button,944E,,,,,,,,,,,FX select/No function when single mode
,,,,,,,,,,,,,,
FX1-3,FX1-3,KnobSliderHiRes,B406,,,,,,,,,,,FX1-3 Effect Depth
FX1-3,FX1-3+Shift,KnobSliderHiRes,B416,,,,,,,,,,,FX1-3 Effect Depth
FX1-3On,FX1-3On,Button,9445,,,,,9445,,,,,,FX1-3 Effect On/Off
FX1-3Select,FX1-3On+Shift,Button,944F,,,,,,,,,,,FX select/No function when single mode
,,,,,,,,,,,,,,
FX1BeatUpDown,FX1Beat,KnobSliderHiRes,B407,,,,,,,,,,,FX1 Effect beat down/up
FX1BeatUpDown,FX1Beat+Shift,KnobSliderHiRes,B417,,,,,,,,,,,FX1 Effect beat down/up
,,,,,,,,,,,,,,
FX2-1,FX2-1,KnobSliderHiRes,B502,,,,,,,,,,,FX2-1 Effect Depth
FX2-1,FX2-1+Shift,KnobSliderHiRes,B512,,,,,,,,,,,FX2-1 Effect Depth
FX2-1On,FX2-1On,Button,9543,,,,,9543,,,,,,FX2-1 Effect On/Off
FX2-1Select,FX2-1On+Shift,Button,954D,,,,,,,,,,,FX select
,,,,,,,,,,,,,,
FX2-2,FX2-2,KnobSliderHiRes,B504,,,,,,,,,,,FX2-2 Effect Depth
FX2-2,FX2-2+Shift,KnobSliderHiRes,B514,,,,,,,,,,,FX2-2 Effect Depth
FX2-2On,FX2-2On,Button,9544,,,,,9544,,,,,,FX2-2 Effect On/Off
FX2-2Select,FX2-2On+Shift,Button,954E,,,,,,,,,,,FX select/No function when single mode
,,,,,,,,,,,,,,
FX2-3,FX2-3,KnobSliderHiRes,B506,,,,,,,,,,,FX2-3 Effect Depth
FX2-3,FX2-3+Shift,KnobSliderHiRes,B516,,,,,,,,,,,FX2-3 Effect Depth
FX2-3On,FX2-3On,Button,9545,,,,,9545,,,,,,FX2-3 Effect On/Off
FX2-3Select,FX2-3On+Shift,Button,954F,,,,,,,,,,,FX select/No function when single mode
,,,,,,,,,,,,,,
FX2BeatUpDown,FX2Beat,KnobSliderHiRes,B507,,,,,,,,,,,FX2 Effect beat down/up
FX2BeatUpDown,FX2Beat+Shift,KnobSliderHiRes,B517,,,,,,,,,,,FX2 Effect beat down/up
,,,,,,,,,,,,,,
CFXParameterCH1,CFXParameterCH1,KnobSliderHiRes,B400,,,,,,,,,,Fast,CH1 CFX Depth
CFXParameterCH1,CFXParameterCH1+Shift,KnobSliderHiRes,B410,,,,,,,,,,Fast,CH1 CFX Depth
CFXParameterCH2,CFXParameterCH2,KnobSliderHiRes,B500,,,,,,,,,,Fast,CH2 CFX Depth
CFXParameterCH2,CFXParameterCH2+Shift,KnobSliderHiRes,B510,,,,,,,,,,Fast,CH2 CFX Depth
CFXParameterCH3,CFXParameterCH3,KnobSliderHiRes,B408,,,,,,,,,,Fast,CH3 CFX Depth
CFXParameterCH3,CFXParameterCH3+Shift,KnobSliderHiRes,B418,,,,,,,,,,Fast,CH3 CFX Depth
CFXParameterCH4,CFXParameterCH4,KnobSliderHiRes,B508,,,,,,,,,,Fast,CH4 CFX Depth
CFXParameterCH4,CFXParameterCH4+Shift,KnobSliderHiRes,B518,,,,,,,,,,Fast,CH4 CFX Depth
,,,,,,,,,,,,,,
# Performance,,,,,,,,,,,,,,
PAD1_HotCue,PAD1.HotCue.Call,Pad,902E,0,1,2,3,902E,0,1,2,3,Fast,HOT CUE1
PAD1_HotCue+Shift,PAD1.HotCue.Delete,Pad,905F,0,1,2,3,905F,0,1,2,3,Fast,Delete HOT CUE1
PAD1_Sampler,PAD1.Sampler.Start,Pad,903C,0,1,2,3,903C,0,1,2,3,Fast,Sample Slot 1 play
PAD1_Sampler+Shift,PAD1.Sampler.Stop,Pad,903D,0,1,2,3,903D,0,1,2,3,Fast,Sample Slot 1 stop
,,,,,,,,,,,,,,
PAD2_HotCue,PAD2.HotCue.Call,Pad,902F,0,1,2,3,902F,0,1,2,3,Fast,HOT CUE2
